master_item_id,item_id,itemname,id,log_index,quantity,latitude,longitude,altitude,description,radius,manual_upload,project_id,project_name,timestamp,location,state,country,category,,
1,3152,Plastic Bags (shopping/grocery),732178,22001,6,32.74952698,-117.2520905,6.30070591,,68.69709015,0,,,2.02007E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),736216,22113,1,32.75042343,-117.2357712,9.976656914,,1852.698242,0,,,2.02007E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),736814,22137,6,32.75545883,-117.2477875,11.55422211,,1661.497681,0,,,2.02007E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),737838,22163,1,32.76028824,-117.2517776,2.416055679,,165,0,,,2.02007E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),737839,22163,1,32.76028824,-117.2517776,2.416055679,,165,0,,,2.02007E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),737840,22163,1,32.76028824,-117.2517776,2.416055679,,165,0,,,2.02007E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),737841,22163,1,32.76028824,-117.2517776,2.416055679,,165,0,,,2.02007E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),737842,22163,1,32.76028824,-117.2517776,2.416055679,,165,0,,,2.02007E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),744450,22358,1,32.74856949,-117.2525482,3.751428366,,65,0,,,2.02007E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),744451,22358,1,32.74856949,-117.2525482,3.751428366,,65,0,,,2.02007E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),744452,22358,1,32.74856949,-117.2525482,3.751428366,,65,0,,,2.02007E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),746044,22398,3,32.79961014,-117.251091,11.64573479,,250.131134,0,,,2.02007E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),746045,22398,3,32.79961014,-117.251091,11.64573479,,250.131134,0,,,2.02007E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),746683,22416,5,32.7996788,-117.2511063,18.00259209,,479.5158386,0,,,2.02008E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),747835,22450,1,33.04766083,-117.2974472,0.822441101,,65,0,,,2.02008E+13,Encinitas, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),748516,22454,1,33.04796219,-117.2972488,8.191209793,,4.758263588,0,,,2.02008E+13,Encinitas, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),748596,22454,1,33.04834366,-117.2966385,5.554653168,,4.732205868,0,,,2.02008E+13,Encinitas, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),748831,22454,1,33.04784775,-117.2976379,9.666181564,,239.6641083,0,,,2.02008E+13,Encinitas, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),749366,22455,1,33.04796219,-117.2972488,8.191209793,,4.758263588,0,,,2.02008E+13,Encinitas, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),749446,22455,1,33.04834366,-117.2966385,5.554653168,,4.732205868,0,,,2.02008E+13,Encinitas, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),749681,22455,1,33.04784775,-117.2976379,9.666181564,,239.6641083,0,,,2.02008E+13,Encinitas, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),750640,22479,3,32.79966736,-117.2511139,12.62097454,,65,0,,,2.02008E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),751981,22514,1,32.8574802,-117.2559396,-32.80000305,,92.90000153,0,,,2.02008E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),751984,22514,1,32.8574817,-117.2563891,-33.30000305,,124.3939972,0,,,2.02008E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),752006,22514,1,32.8570279,-117.2561719,-32.80000305,,25.91300011,0,,,2.02008E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),752070,22514,1,32.8553455,-117.2584541,-31.89999962,,14.93299961,0,,,2.02008E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),752071,22514,1,32.8553455,-117.2584541,-31.89999962,,14.93299961,0,,,2.02008E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),752150,22514,1,32.8575132,-117.2560046,-32.10000229,,142.5,0,,,2.02008E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),752151,22514,1,32.8575132,-117.2560046,-32.10000229,,142.5,0,,,2.02008E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),753359,22549,1,32.71968079,-117.2566757,19.08884048,,165,0,,,2.02008E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),755785,22633,1,32.74467468,-117.2329254,16.13051414,,2000,0,,,2.02008E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),755786,22633,1,32.74467468,-117.2329254,16.13051414,,2000,0,,,2.02008E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),755787,22633,1,32.74467468,-117.2329254,16.13051414,,2000,0,,,2.02008E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),755788,22633,1,32.74467468,-117.2329254,16.13051414,,2000,0,,,2.02008E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),756454,22655,2,32.75000381,-117.2499237,2.471940041,,1414,0,,,2.02008E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),758024,22692,1,32.75358963,-117.2477646,13.03160667,,2000,0,,,2.02008E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),758025,22692,1,32.75358963,-117.2477646,13.03160667,,2000,0,,,2.02008E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),759110,22735,1,32.74515533,-117.233017,16.42035103,,2376,0,,,2.02008E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),759111,22735,1,32.74515533,-117.233017,16.42035103,,2376,0,,,2.02008E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),784672,23354,2,32.74900818,-117.2522812,2.908139467,,97.45563507,0,,,2.02009E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),830400,24398,1,32.808061,-117.2654934,12.60000038,,3.986000061,0,,,2.02011E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),830402,24398,1,32.8080431,-117.2653898,-30.57183838,,3.969000101,0,,,2.02011E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),830412,24398,1,32.808001,-117.2652287,-8.699999809,,4.228000164,0,,,2.02011E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),830415,24398,1,32.8080006,-117.2651976,-8.699999809,,4.191999912,0,,,2.02011E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),830425,24398,1,32.807662,-117.2645991,-8.699999809,,4.497000217,0,,,2.02011E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),830455,24398,1,32.8067831,-117.2635218,-22.5,,3.857000113,0,,,2.02011E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),830527,24398,1,32.8039829,-117.2614312,-24.5,,3.996000051,0,,,2.02011E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),830537,24398,1,32.8033463,-117.2609418,-20.29999924,,5.517000198,0,,,2.02011E+13,San Diego, California, United States of America,plastics,,
1,3152,Plastic Bags (shopping/grocery),861376,25131,3,32.7965127,-117.0897259,23.80000114,,5.045000076,0,,,2.02011E+13,San Diego, California, United States of America,plastics,,
