master_item_id,item_id,itemname,id,log_index,quantity,latitude,longitude,altitude,description,radius,manual_upload,project_id,project_name,timestamp,location,state,country,category
6,2661,Cigarette Butts,683193,20622,1,49.1414299,-125.8907852,17.16584206,,65,0,,,2.02004E+13,Tofino, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,683194,20622,1,49.1414299,-125.8907852,17.16584206,,65,0,,,2.02004E+13,Tofino, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,683195,20622,1,49.1414299,-125.8907852,17.16584206,,65,0,,,2.02004E+13,Tofino, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,683206,20622,115,49.14122391,-125.8904724,18.80235672,,65,0,,,2.02004E+13,Tofino, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,683215,20622,1,49.14138794,-125.8899841,19.51618958,,69.51351929,0,,,2.02004E+13,Tofino, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,683216,20622,1,49.14138794,-125.8899841,19.51618958,,69.51351929,0,,,2.02004E+13,Tofino, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,683229,20622,4,49.14148712,-125.8898621,19.57977676,,65,0,,,2.02004E+13,Tofino, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,683462,20637,38,49.1320063,-125.9027014,-10.29999924,,48.95100021,0,,,2.02004E+13,Tofino, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,683472,20640,60,49.1393453,-125.89243,23.5,,15.19200039,0,,,2.02004E+13,Tofino, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,683473,20640,60,49.1393455,-125.8924143,23.5,,14.97599983,0,,,2.02004E+13,Tofino, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,683474,20640,1,49.139349,-125.8924218,23.5,,14.81299973,0,,,2.02004E+13,Tofino, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,683495,20641,60,49.1393419,-125.8924378,23.5,,14.47999954,0,,,2.02004E+13,Tofino, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,684110,20658,370,49.13576889,-125.8908997,24.99602509,,1077.231934,0,,,2.02004E+13,Alberni-Clayoquot Regional District, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,703220,21286,1,48.9697546,-125.5873606,-7.299999714,,5.052999973,0,,,2.02006E+13,Alberni-Clayoquot, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,703221,21286,1,48.9697465,-125.5873477,-7.299999714,,4.644999981,0,,,2.02006E+13,Alberni-Clayoquot, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,703222,21286,1,48.9697464,-125.5873476,-7.299999714,,4.644999981,0,,,2.02006E+13,Alberni-Clayoquot, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,733625,22040,3,50.1304512,-122.9627838,665.5800171,,1983.195435,0,,,2.02007E+13,Whistler, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,734166,22061,2,49.1293349,-125.8948287,-1.699999928,,14.62100029,0,,,2.02007E+13,Tofino, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,735895,22103,20,49.10358047,-125.8700638,17.56108475,,165,0,,,2.02007E+13,Alberni-Clayoquot Regional District, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,743933,22342,1,49.35783768,-124.4601822,-10.82906532,,8300,0,,,2.02007E+13,Regional District of Nanaimo, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,743934,22342,1,49.35783768,-124.4601822,-10.82906532,,8300,0,,,2.02007E+13,Regional District of Nanaimo, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,743935,22342,1,49.35783768,-124.4601822,-10.82906532,,8300,0,,,2.02007E+13,Regional District of Nanaimo, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,743936,22342,1,49.35783768,-124.4601822,-10.82906532,,8300,0,,,2.02007E+13,Regional District of Nanaimo, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,757067,22673,10,49.10313797,-125.8668594,14.00048351,,65,0,,,2.02008E+13,Tofino, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,758239,22703,146,49.1324409,-125.8906972,1.100000024,,4.315000057,0,,,2.02008E+13,Tofino, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,758624,22716,3,49.11730957,-125.8761444,14.96000004,,5227.227051,0,,,2.02008E+13,Tofino, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,758625,22716,1,49.11209488,-125.8672791,14.96000004,,7253,0,,,2.02008E+13,Tofino, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,761421,22784,9,49.10314941,-125.8668594,14,,65,0,,,2.02008E+13,Tofino, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,761451,22786,25,49.1031456,-125.8668594,14,,65,0,,,2.02008E+13,Tofino, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,764522,22867,7,49.10419464,-125.8680267,14.951581,,65,0,,,2.02008E+13,Alberni-Clayoquot Regional District, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,764526,22867,21,49.10419083,-125.8680115,14.95115089,,65,0,,,2.02008E+13,Alberni-Clayoquot Regional District, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,765246,22881,10,49.10422897,-125.8690567,14.95000076,,155.067688,0,,,2.02008E+13,Alberni-Clayoquot Regional District, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,765567,22897,372,45.7304822,-82.1729689,178.4000092,,6.723999977,0,,,2.02008E+13,Central Manitoulin, Ontario, Canada,tobacco
6,2661,Cigarette Butts,765588,22898,372,45.7304822,-82.1729689,178.4000092,,6.723999977,0,,,2.02008E+13,Central Manitoulin, Ontario, Canada,tobacco
6,2661,Cigarette Butts,767846,22954,15,49.10422516,-125.8684998,15.16217709,,583.0362549,0,,,2.02009E+13,Alberni-Clayoquot Regional District, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,768634,22978,8,49.10464478,-125.8717499,13.5774765,,65,0,,,2.02009E+13,Tofino, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,768645,22980,35,49.10420227,-125.868103,17.09095001,,5,0,,,2.02009E+13,Alberni-Clayoquot Regional District, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,768657,22980,5,49.10421371,-125.8680649,8.656532288,,5,0,,,2.02009E+13,Alberni-Clayoquot Regional District, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,769867,23024,12,49.10419464,-125.868042,15.00368881,,65,0,,,2.02009E+13,Alberni-Clayoquot Regional District, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,771245,23063,1,39.14246368,-84.52748108,205.4142303,,65,0,,,2.02009E+13,Cincinnati, Ohio, United States of America,tobacco
6,2661,Cigarette Butts,771307,23068,1,49.12041473,-125.8975296,14.94482136,,1414,0,,,2.02009E+13,Tofino, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,771378,23072,16,49.10408401,-125.8684769,15.31265068,,88.10005951,0,,,2.02009E+13,Alberni-Clayoquot Regional District, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,777215,23207,7,49.11992645,-125.8862991,13.1563139,,65,0,,,2.02009E+13,Tofino, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,777325,23210,17,49.10434723,-125.8680801,14.64256954,,280.4561768,0,,,2.02009E+13,Tofino, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,782207,23280,12,49.1042099,-125.8680725,14.86851025,,65,0,,,2.02009E+13,Alberni-Clayoquot Regional District, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,782236,23281,3,49.10421753,-125.8680725,14.86999702,,65,0,,,2.02009E+13,Alberni-Clayoquot Regional District, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,783072,23301,20,49.13341141,-125.9040756,9.923279762,,15.09907818,0,,,2.02009E+13,Tofino, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,783383,23306,6,49.10412216,-125.8681335,14.80000019,,65,0,,,2.02009E+13,Alberni-Clayoquot Regional District, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,783384,23307,1,49.1042366,-125.8680649,14.86999989,,924.5762329,0,,,2.02009E+13,Alberni-Clayoquot Regional District, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,783385,23307,50,49.1042366,-125.8680649,14.86999989,,924.5762329,0,,,2.02009E+13,Alberni-Clayoquot Regional District, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,787345,23398,1,48.9280771,-125.5388269,4,,22.91799927,0,,,2.02009E+13,Ucluelet, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,787356,23398,1,48.928455,-125.5386676,4,,20.94799995,0,,,2.02009E+13,Ucluelet, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,787360,23398,1,48.9285782,-125.5384138,4,,8.746999741,0,,,2.02009E+13,Ucluelet, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,787363,23398,1,48.9285388,-125.5382658,5.799999714,,8.789999962,0,,,2.02009E+13,Ucluelet, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,787372,23398,1,48.9279682,-125.5377966,9.300000191,,10.56599998,0,,,2.02009E+13,Ucluelet, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,787373,23398,1,48.9279469,-125.5377415,7.199999809,,4.403999805,0,,,2.02009E+13,Ucluelet, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,787374,23398,1,48.9279309,-125.537725,7.199999809,,8.652999878,0,,,2.02009E+13,Ucluelet, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,787377,23398,1,48.9279177,-125.5379433,10.20000076,,24.10700035,0,,,2.02009E+13,Ucluelet, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,787379,23398,1,48.9337685,-125.540375,2.700000048,,5.048999786,0,,,2.02009E+13,Ucluelet, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,787382,23398,1,48.933732,-125.540386,2.099999905,,23.92399979,0,,,2.02009E+13,Ucluelet, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,787388,23398,1,48.9344424,-125.5410221,-14.21157837,,25.98600006,0,,,2.02009E+13,Ucluelet, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,787462,23400,10,48.93358994,-125.5403137,10.92883682,,6.000905991,0,,,2.02009E+13,Ucluelet, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,787469,23401,19,48.93355942,-125.5405197,11.91149139,,32.00483322,0,,,2.02009E+13,Ucluelet, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,790372,23449,15,49.10310364,-125.8668289,14.80000114,,65,0,,,2.02009E+13,Tofino, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,793671,23583,56,49.10421753,-125.868248,16.05455017,,489.7489014,0,,,2.0201E+13,Alberni-Clayoquot Regional District, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,794068,23589,6,49.12987137,-125.9108429,1,,2500,0,,,2.0201E+13,Alberni-Clayoquot Regional District, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,794614,23602,119,48.93638229,-125.5515442,8.6727314,,6.000905991,0,,,2.0201E+13,Ucluelet, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,794705,23603,27,48.94431305,-125.549118,14.18257427,,65,0,,,2.0201E+13,Ucluelet, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,797547,23632,1,48.42155838,-123.3997879,14.97561741,,1920.472534,0,,,2.0201E+13,Esquimalt, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,797548,23632,1,48.42155838,-123.3997879,14.97561741,,1920.472534,0,,,2.0201E+13,Esquimalt, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,797549,23632,1,48.41008759,-123.3775711,6.328312874,,6.000905991,0,,,2.0201E+13,Esquimalt, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,797550,23632,1,48.41008759,-123.3775711,6.328312874,,6.000905991,0,,,2.0201E+13,Esquimalt, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,797569,23632,1,48.41293716,-123.3804855,10.49336815,,2513.102539,0,,,2.0201E+13,Esquimalt, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,797570,23632,1,48.41293716,-123.3804855,10.49336815,,2513.102539,0,,,2.0201E+13,Esquimalt, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,797599,23632,1,48.42554474,-123.4075775,5.729376316,,2193.998779,0,,,2.0201E+13,Esquimalt, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,797600,23632,1,48.42554474,-123.4075775,5.729376316,,2193.998779,0,,,2.0201E+13,Esquimalt, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,797601,23632,1,48.42554474,-123.4075775,5.729376316,,2193.998779,0,,,2.0201E+13,Esquimalt, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,797610,23632,1,48.41038513,-123.3753281,13.16683197,,2559.224854,0,,,2.0201E+13,Esquimalt, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,797614,23632,1,48.41038513,-123.3753281,13.16683197,,2559.224854,0,,,2.0201E+13,Esquimalt, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,797616,23632,3,48.41038513,-123.3753281,13.16683197,,2559.224854,0,,,2.0201E+13,Esquimalt, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,797617,23632,1,48.41207886,-123.3785019,4.703617096,,65,0,,,2.0201E+13,Esquimalt, British Columbia, Canada,tobacco
6,2661,Cigarette Butts,797643,23632,1,48.41136169,-123.3780441,5.082924366,,1068.504272,0,,,2.0201E+13,Esquimalt, British Columbia, Canada,tobacco
